",Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi"
"194,Hyundai,VernaSX (O) 1.6 VTVT AT,2018,Bangalore,30500.0,petrol,automatic,975000.0,16603"
"195,Skoda,RapidAmbition Plus Diesel MT,2014,Bangalore,124000.0,diesel,manual,390000.0,7847"
"196,Mahindra,TharLX Convertible Diesel AT,2022,Bangalore,21500.0,diesel,automatic,1482000.0,25486"
"197,Renault,TriberRXZ EASY-R AMT,2021,Bangalore,34000.0,petrol,automatic,641000.0,10915"
"198,Nissan,MagniteXV Premium Turbo CVT Dual Tone,2022,Bangalore,37000.0,petrol,automatic,916000.0,15598"
"199,Kia,SeltosHTK Plus iMT,2022,Bangalore,14000.0,petrol,manual,1225000.0,21064"
"200,Renault,Kwid1.0 RXT,2016,Bangalore,32000.0,petrol,manual,325000.0,5534"
"201,Ford,EcoSportTitanium 1.5L TDCi,2017,Bangalore,114500.0,diesel,manual,601000.0,10234"
"202,Datsun,Redi-GOS 1.0,2019,Bangalore,33500.0,petrol,manual,284000.0,7655"
"203,Hyundai,AlcazarSignature (O) 6 STR 1.5 Diesel AT,2023,Bangalore,34500.0,diesel,automatic,1921000.0,34674"
"204,Hyundai,VernaFluidic 1.6 VTVT SX,2013,Bangalore,47500.0,petrol,manual,499000.0,13450"
"205,Tata,TiagoRevotron XZ Plus,2019,Bangalore,14500.0,petrol,manual,539000.0,9178"
"206,Honda,Amaze1.2 VX i-VTEC,2023,Bangalore,15000.0,petrol,manual,825000.0,14049"
"207,Hyundai,i20Asta 1.4 CRDI,2013,Bangalore,100000.0,diesel,manual,447000.0,12048"
"208,Hyundai,Elite i20Asta 1.2,2018,Bangalore,78500.0,petrol,manual,635000.0,10813"
"209,Maruti,CiazZeta 1.5,2021,Bangalore,31500.0,petrol,manual,819000.0,13947"
"210,Renault,DusterRXL Petrol,2016,Bangalore,71500.0,petrol,manual,480000.0,8174"
"211,Maruti,Vitara BrezzaVDi,2018,Bangalore,118500.0,diesel,manual,679000.0,11562"
"212,Maruti,CelerioVXi AMT,2016,Bangalore,44500.0,petrol,automatic,425000.0,7237"
"213,Datsun,Redi-GOA,2018,Bangalore,11500.0,petrol,manual,254000.0,6846"
"214,Maruti,BalenoZeta AT Petrol,2017,Bangalore,91000.0,petrol,automatic,551000.0,9383"
"215,Hyundai,New Santro 1.1Sportz Executive CNG,2021,Bangalore,32500.0,petrol+cng,manual,598000.0,9547"
"216,Hyundai,VenueSX Plus 1.0 Turbo DCT,2022,Bangalore,35500.0,petrol,automatic,1082000.0,18608"
"217,Kia,SeltosGTX Plus DCT,2020,Bangalore,51000.0,petrol,automatic,1292000.0,22223"
"218,Maruti,CiazAlpha Petrol,2020,Bangalore,122500.0,petrol,manual,738000.0,12567"
"219,Volkswagen,PoloComfortline 1.2L (P),2014,Bangalore,65000.0,petrol,manual,465000.00000000006,9356"
"220,Honda,JazzVX Petrol,2015,Bangalore,139000.0,petrol,manual,425000.0,7252"
"221,Maruti,BalenoZeta 1.2 AT,2018,Bangalore,63000.0,petrol,automatic,664000.0,11307"
"222,Ford,FreestyleTitanium 1.5 TDCI,2018,Bangalore,106500.0,diesel,manual,448000.00000000006,9614"
"223,Maruti,Vitara BrezzaZDi Plus AGS,2018,Bangalore,40000.0,diesel,automatic,877000.0,14934"
"224,Nissan,Micra ActiveXV Safety Pack,2017,Bangalore,73500.0,petrol,manual,339000.0,5772"
"225,Hyundai,XcentS (O) Petrol,2015,Bangalore,64000.0,petrol,manual,400000.0,6825"
"226,Maruti,ErtigaVDi,2013,Bangalore,115000.0,diesel,manual,492000.0,13261"
"227,Mahindra,XUV 300W8 (O) AMT Petrol,2023,Bangalore,10000.0,petrol,automatic,1241000.0,21343"
"228,Maruti,Vitara BrezzaZXi Plus AT SHVS,2020,Bangalore,97500.0,petrol,automatic,899000.0,15309"
"229,Hyundai,VenueSX 1.0  Turbo,2021,Bangalore,31000.0,petrol,manual,922000.0000000001,16109"
"230,Maruti,Alto 800Lxi,2014,Bangalore,125500.0,petrol,manual,227999.99999999997,6322"
"231,Renault,KigerRXZ AMT,2023,Bangalore,15500.0,petrol,automatic,826000.0,14066"
"232,Hyundai,VenueSX 1.0 (O) Turbo iMT Dual Tone Sport,2020,Bangalore,52500.0,petrol,manual,901000.0,15735"
"233,Renault,TriberRXZ Dual Tone,2022,Bangalore,30000.0,petrol,manual,687000.0,11699"
"234,Datsun,GOT,2016,Bangalore,77000.0,petrol,manual,246000.0,9356"
"235,Renault,KigerRXZ Turbo CVT Dual Tone,2021,Bangalore,69500.0,petrol,automatic,779000.0,13265"
"236,Ford,EcoSportTitanium + 1.5L Ti-VCT AT,2018,Bangalore,74000.0,petrol,automatic,776000.0,13214"
"237,Hyundai,AuraSX Plus 1.2 AMT CRDI,2022,Bangalore,40000.0,diesel,automatic,819000.0,13947"
"238,Hyundai,XcentS 1.1 CRDi (O),2014,Bangalore,80000.0,diesel,manual,430999.99999999994,8671"
"239,Toyota,Urban Cruiser HyryderV Hybrid Dual Tone,2023,Bangalore,35500.0,hybrid,automatic,1961000.0,33726"
"240,Hyundai,EonSportz,2013,Bangalore,84500.0,petrol,manual,252999.99999999997,6393"
"241,Renault,Kwid1.0 RXT AMT,2018,Bangalore,45500.0,petrol,automatic,380000.0,6471"
"242,Maruti,S-CrossZeta 1.3,2016,Bangalore,24500.0,diesel,manual,644000.0,10966"
"243,Tata,HarrierXZ,2019,Bangalore,30500.0,diesel,manual,1361000.0,23405"
"244,Maruti,BalenoZeta,2021,Bangalore,48000.0,petrol,manual,695000.0,11835"
"245,Hyundai,Grand i10Sportz 1.2 Kappa VTVT,2017,Bangalore,84000.0,petrol,manual,454000.0,7731"
"246,Maruti,Vitara BrezzaZDi AGS,2018,Bangalore,83000.0,diesel,automatic,718000.0,12227"
"247,Hyundai,Creta1.6 SX Plus Auto Petrol,2016,Bangalore,60000.0,petrol,automatic,919999.9999999999,15667"
"248,Maruti,CiazZXI+ AT,2017,Bangalore,57000.0,petrol,automatic,710000.0,12090"
